@_fa,affiliation,article-number,citedby-count,dc:creator,dc:identifier,dc:title,eid,freetoread,freetoreadLabel,link,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:coverDisplayDate,prism:doi,prism:eIssn,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,source-id,subtype,subtypeDescription
true,"[{'@_fa': 'true', 'affilname': 'Southern University of Science and Technology', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}]",,0,Tang P.,SCOPUS_ID:85215500320,Instruction-Tuning Llama-3-8B Excels in City-Scale Mobility Prediction,2-s2.0-85215500320,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85215500320'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85215500320?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85215500320&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85215500320&origin=inward'}]",0,False,,Conference Proceeding,2024-12-16,16 December 2024,10.1145/3681771.3699908,,"[{'@_fa': 'true', '$': '[9798400711503]'}]",,,1-4,"2nd ACM SIGSPATIAL International Workshop on the Human Mobility Prediction Challenge, HuMob-Challenge 2024",https://api.elsevier.com/content/abstract/scopus_id/85215500320,,,21101270323,cp,Conference Paper
true,"[{'@_fa': 'true', 'affilname': 'College of Civil Engineering and Architecture Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",105940,1,Jin Y.,SCOPUS_ID:85208127887,Large language model as parking planning agent in the context of mixed period of autonomous vehicles and Human-Driven vehicles,2-s2.0-85208127887,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208127887'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208127887?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208127887&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85208127887&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2210670724007649'}]",0,False,S2210670724007649,Journal,2024-12-15,15 December 2024,10.1016/j.scs.2024.105940,,,22106707,,,Sustainable Cities and Society,https://api.elsevier.com/content/abstract/scopus_id/85208127887,117,,19700194105,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Bangor Business School', 'affiliation-city': 'Bangor', 'affiliation-country': 'United Kingdom'}]",,0,Ching A.C.H.,SCOPUS_ID:85213116018,Evaluating a global citizenship course on developing business students' AI literacy skills,2-s2.0-85213116018,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213116018'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213116018?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213116018&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85213116018&origin=inward'}]",0,False,,Book,2024-12-02,2 December 2024,10.1108/978-1-83608-852-320241010,,"[{'@_fa': 'true', '$': '[9781836088523, 9781836088530]'}]",,,91-100,Effective Practices in AI Literacy Education: Case Studies and Reflections,https://api.elsevier.com/content/abstract/scopus_id/85213116018,,,21101266039,ch,Book Chapter
true,"[{'@_fa': 'true', 'affilname': 'Faculty of Computing and Information Technology, King Abdulaziz University', 'affiliation-city': 'Jeddah', 'affiliation-country': 'Saudi Arabia'}]",196,0,Al-Mutawa R.F.,SCOPUS_ID:85213437065,Arabic Opinion Classification of Customer Service Conversations Using Data Augmentation and Artificial Intelligence,2-s2.0-85213437065,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213437065'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213437065?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213437065&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85213437065&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.3390/bdcc8120196,25042289,,,12,,Big Data and Cognitive Computing,https://api.elsevier.com/content/abstract/scopus_id/85213437065,8,,21101020112,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Università del Salento', 'affiliation-city': 'Lecce', 'affiliation-country': 'Italy'}]",582,0,Ghiani G.,SCOPUS_ID:85213421656,Integrating Large Language Models and Optimization in Semi- Structured Decision Making: Methodology and a Case Study,2-s2.0-85213421656,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213421656'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213421656?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213421656&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85213421656&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.3390/a17120582,19994893,,,12,,Algorithms,https://api.elsevier.com/content/abstract/scopus_id/85213421656,17,,21100199795,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Universidade Federal do Parana', 'affiliation-city': 'Curitiba', 'affiliation-country': 'Brazil'}]",422,0,de Moraes Vestena K.,SCOPUS_ID:85213246629,Investigating the Performance of Open-Vocabulary Classification Algorithms for Pathway and Surface Material Detection in Urban Environments,2-s2.0-85213246629,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213246629'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213246629?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213246629&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85213246629&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.3390/ijgi13120422,22209964,,,12,,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85213246629,13,,21100427639,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",4874,3,Lifelo Z.,SCOPUS_ID:85213202921,"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions",2-s2.0-85213202921,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213202921'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85213202921?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213202921&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85213202921&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.3390/electronics13244874,20799292,,,24,,Electronics (Switzerland),https://api.elsevier.com/content/abstract/scopus_id/85213202921,13,,21100829272,re,Review
true,"[{'@_fa': 'true', 'affilname': 'Capital University of Physical Education and Sports', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",,0,Gao T.,SCOPUS_ID:85204777919,Integrating IoT and visual question answering in smart cities: Enhancing educational outcomes,2-s2.0-85204777919,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85204777919'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85204777919?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204777919&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85204777919&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1110016824010834'}]",1,True,S1110016824010834,Journal,2024-12-01,December 2024,10.1016/j.aej.2024.09.059,,,11100168,,878-888,Alexandria Engineering Journal,https://api.elsevier.com/content/abstract/scopus_id/85204777919,108,,13907,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Institute for Philosophy and Social Theory, University of Belgrade', 'affiliation-city': 'Belgrade', 'affiliation-country': 'Serbia'}, {'@_fa': 'true', 'affilname': 'The Institute for Artificial Intelligence Research and Development of Serbia', 'affiliation-city': 'Novi Sad', 'affiliation-country': 'Serbia'}]",15,0,Bojić L.,SCOPUS_ID:85201949790,CERN for AI: a theoretical framework for autonomous simulation-based artificial intelligence testing and alignment,2-s2.0-85201949790,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201949790'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201949790?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201949790&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85201949790&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.1186/s40309-024-00238-0,21952248,,21954194,1,,European Journal of Futures Research,https://api.elsevier.com/content/abstract/scopus_id/85201949790,12,,21100850750,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Universidade do Porto', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}]",102880,0,Costa D.G.,SCOPUS_ID:85200231800,A method to promote safe cycling powered by large language models and AI agents,2-s2.0-85200231800,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85200231800'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85200231800?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200231800&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85200231800&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2215016124003327'}]",1,True,S2215016124003327,Journal,2024-12-01,December 2024,10.1016/j.mex.2024.102880,22150161,,,,,MethodsX,https://api.elsevier.com/content/abstract/scopus_id/85200231800,13,,21100317906,ar,Article
