doi,title,authors,introduction,contribution
10.1016/j.landurbplan.2025.105365,A hybrid framework for regional land valuation using generative intelligence and AutoML techniques,Jiang F.,"Land value is a crucial indicator of economic dynamics and regional development, providing essential information for urban planning and policy development. However, most existing studies estimate a singular land value over large areas, lacking the fine-grained details for urban management.","This study therefore develops a RAHGV (relative-to-absolute hybrid generative valuation) framework for regional land valuation, which combines a hybrid learning strategy with deep generative modeling to produce high-resolution, spatially continuous land value distribution across extensive urban areas. In a case study of New York City (NYC), the RAHGV model outperforms typical one-step models by differentiating between local land variations and broader regional tendencies. Its bi-attention bottleneck significantly improves model performance, reducing MAE (Mean Absolute Error) by 45.75% and MSE (Mean Squared Error) by 69.86% compared to conventional deep generative methods. Local physical infrastructure and mixed land-use patterns primarily influence micro-scale land values, while community amenities and economic vibrancy drive macro-scale values. The findings highlight the potential of the RAHGV framework as a powerful tool for promoting sustainable urban development by delivering high-resolution, data-driven insights that support informed decision-making in rapidly evolving urban environments."
10.1016/j.dib.2025.111505,From archives to AI: Residential property data across three decades in Brunei Darussalam,Jamil H.,"This article introduces the first publicly available data set for analysing the Brunei housing market, covering more than 30,000 property listings from 1993 to early 2025. The data set, curated from property advertisements in newspapers and online platforms, includes key attributes such as price, location, property type, and physical characteristics, enriched with area-level spatial information. Comprehensive and historical, it complements the Brunei Darussalam Central Bank's Residential Property Price Index (RPPI), addressing the limitations of restricted access to raw RPPI data and its relatively short timeline since its inception in 2015. Data collection involved manual transcription from archival sources and automated web scraping using programmatic techniques, supported by innovative processing with Large Language Models (LLMs) to codify unstructured text. The data set enables spatial and temporal analysis, with potential applications in economics, urban planning, and real estate research. Although listing prices are only a proxy for market values and may deviate from actual sale prices due to negotiation dynamics and other factors, this data set still provides a valuable resource for quantitative analyses of housing market trends and for informing policy decisions.","This article introduces the first publicly available data set for analysing the Brunei housing market, covering more than 30,000 property listings from 1993 to early 2025. The data set, curated from property advertisements in newspapers and online platforms, includes key attributes such as price, location, property type, and physical characteristics, enriched with area-level spatial information. Comprehensive and historical, it complements the Brunei Darussalam Central Bank's Residential Property Price Index (RPPI), addressing the limitations of restricted access to raw RPPI data and its relatively short timeline since its inception in 2015. Data collection involved manual transcription from archival sources and automated web scraping using programmatic techniques, supported by innovative processing with Large Language Models (LLMs) to codify unstructured text. The data set enables spatial and temporal analysis, with potential applications in economics, urban planning, and real estate research. Although listing prices are only a proxy for market values and may deviate from actual sale prices due to negotiation dynamics and other factors, this data set still provides a valuable resource for quantitative analyses of housing market trends and for informing policy decisions."
10.1016/j.cose.2024.104299,Edge Implicit Weighting with graph transformers for robust intrusion detection in Internet of Things network,Karpagavalli C.,"In recent years, the Internet of Things devices have progressively deployed in various applications including smart cities, intelligent transportation, healthcare, and agriculture. However, this widespread adaptation of the Internet of Things networks has been vulnerable to several attacks. Lack of security protocols, unauthorized access, and improper device updates lead the Internet of Things environment to several attacks, which impact network security and confidentiality of users.","This paper develops an innovative approach that integrates Edge Implicit Weighting and Aggregated Graph Transformer architecture for accurate and timely intrusion detection. The proposed technique aggregates information from both one-hop and two-hop neighbors to derive immediate and extended relational context thereby improving the detection of complex attacks. This approach designs an Edge Implicit Weighting mechanism that allows the model to prioritize structurally significant relationships and enhance the accuracy of attack detection. The multi-head attention mechanism is introduced to enhance the detection of relevant patterns even in highly variable traffic scenarios. Further, the proposed framework incorporates the Synthetic Minority Over-sampling Technique to generate synthetic samples of minority classes to reduce class imbalance problems and attain balanced detection performance across all classes. The performance of the proposed detection technique is analyzed using multiple datasets with standard evaluation parameters. The proposed technique achieves outstanding performance results including an accuracy of 98.87% and a recall of 98.36%. From this experimental validation, it's clear that the proposed framework provides robust performance under diverse network conditions and handles imbalanced data effectively."
10.1016/j.trb.2024.103135,Bike network planning in limited urban space,Wiedemann N.,"The lack of cycling infrastructure in urban environments hinders the adoption of cycling as a viable mode for commuting, despite the evident benefits of (e-)bikes as sustainable, efficient, and health-promoting transportation modes. Bike network planning is a tedious process, relying on heuristic computational methods that frequently overlook the broader implications of introducing new cycling infrastructure, in particular the necessity to repurpose car lanes.","In this work, we call for optimizing the trade-off between bike and car networks, effectively pushing for Pareto optimality. This shift in perspective gives rise to a novel linear programming formulation towards optimal bike network allocation. Our experiments, conducted using both real-world and synthetic data, testify the effectiveness and superiority of this optimization approach compared to heuristic methods. In particular, the framework provides stakeholders with a range of lane reallocation scenarios, illustrating potential bike network enhancements and their implications for car infrastructure. Crucially, our approach is adaptable to various bikeability and car accessibility evaluation criteria, making our tool a highly flexible and scalable resource for urban planning. This paper presents an advanced decision-support framework that can significantly aid urban planners in making informed decisions on cycling infrastructure development."
10.1007/978-981-97-9762-2_19,Adaptive Cyber Defence: Leveraging GANs for Simulating and Mitigating Advanced Network Attacks in IoT Environments,Rao P.K.,"The progressive dissemination of the Internet of Things (IoT) and Wireless Sensor Networks (WSNs) has ushered in a new era of connectivity, with vast applications spanning from medicare to smart city infrastructure. However, this expansion has been paralleled by a corresponding increase in the sophistication and variety of cyber threats targeting these networks. Traditional cyber security measures, designed for a less dynamic threat landscape, are proving increasingly insufficient in protecting against the innovative and varied attack methods now in commonplace.","This study introduces an innovative application of Generative Adversarial Networks (GANs) to address this challenge, presenting a novel framework for the simulation and mitigation of advanced network attacks, particularly focusing on Distributed Denial of Service (DDoS) and spoofing attacks which pose significant threats in IoT environments. Generative Adversarial Networks (GANs), comprising two neural networks-the generator and the discriminator compete in a game-theoretic scenario, facilitating a deep understanding of attack patterns through the generation of realistic, synthetic cyber-attack scenarios. This research exploits GANs to bridge the gap between the static nature of traditional security protocols and the dynamic, evolving landscape of cyber threats. By training on a comprehensive dataset of known attacks and normal network activities, our proposed model, the Dynamic Adaptive Threat Simulation GAN (DATS-GAN), is capable of producing varied and realistic attack scenarios. These simulations serve a dual purpose: they not only enhance the detection capabilities and responsiveness of current security systems but also provide a basis for the development of new, adaptive security mechanisms capable of dynamically responding to the ever-changing cyber threat landscape. The effectiveness of DATS-GAN is demonstrated through extensive empirical analysis, highlighting significant improvements in the detection precision and reaction times of security frameworks within WSNs. Moreover, the generated synthetic attack scenarios provide a valuable resource for training machine learning models, leading to the advancement of adaptive security solutions that maintain a high readiness level against emerging cyber threats. The outcomes of this research hold substantial promise for the cyber security domain, showcasing the potential of GANs to revolutionize network defenses against sophisticated cyber threats in IoT and WSN environments."
10.1109/TITS.2025.3528116,"Integrating LLMs With ITS: Recent Advances, Potentials, Challenges, and Future Directions",Mahmud D.,"Intelligent Transportation Systems (ITS) are crucial for the development and operation of smart cities, addressing key challenges in efficiency, productivity, and environmental sustainability.","This paper comprehensively reviews the transformative potential of Large Language Models (LLMs) in optimizing ITS. Initially, we provide an extensive overview of ITS, highlighting its components, operational principles, and overall effectiveness. We then delve into the theoretical background of various LLM techniques, such as GPT, T5, CTRL, and BERT, elucidating their relevance to ITS applications. Following this, we examine the wide-ranging applications of LLMs within ITS, including traffic flow prediction, vehicle detection and classification, autonomous driving, traffic sign recognition, and pedestrian detection. Our analysis reveals how these advanced models can significantly enhance traffic management and safety. Finally, we explore the challenges and limitations LLMs face in ITS, such as data availability, computational constraints, and ethical considerations. We also present several future research directions and potential innovations to address these challenges. This paper aims to guide researchers and practitioners through the complexities and opportunities of integrating LLMs in ITS, offering a roadmap to create more efficient, sustainable, and responsive next-generation transportation systems."
10.1016/j.scs.2024.106048,Forecasting land surface drought in urban environments based on machine learning model,Chen J.,"Urban drought, a subtype of socio-economic drought, has received limited attention compared to other types. Given the shifts in water supply patterns due to global climate change and ongoing urbanization, understanding and predicting how urban design affects drought is crucial for sustainable human settlements. Previous research has primarily focused on large-scale predictive modeling, making it difficult for architects and urban designers to address potential drought risks.","This study addresses that issue by proposing an urban planning prediction model based on generative adversarial networks that integrates temperature vegetation dryness index (TVDI) maps. The model is trained on relevant datasets by using Guangzhou as a case study, including land cover, land surface temperature, and normalized difference vegetation index data. TVDI maps are generated from untrained image pairs based on urban planning parameters. Model validation, including accuracy analysis and scenario simulations, is conducted to assess the model's ability to predict urban land surface drought resulting from changes in urban planning. This approach highlights its proactive capacity to anticipate and reveal long-term or gradually unfolding drought trends, offering valid tools for urban design and planning."
10.1109/OJCOMS.2025.3560035,Future of Connectivity: A Comprehensive Review of Innovations and Challenges in 7G Smart Networks,Chamola V.,"The evolution from 1G to 6G networks has transformed global communication, progressing from basic voice calls in 1G to the immersive, AI-enabled experiences of 6G. As emerging AI-driven applications like autonomous systems, the Internet of Everything (IoE), and immersive technologies demand unprecedented capabilities, 7G networks are set to redefine connectivity by overcoming the limitations of earlier generations.","This paper comprehensively reviews the innovations and challenges in 7G networks, focusing on integrating advanced AI and machine learning paradigms such as meta-learning, incremental learning, distributed intelligence, and reinforcement learning to enhance adaptability, resource allocation, and edge performance. The review also examines the role of Large Language Models (LLMs) in enabling real-time actionable intelligence and optimizing edge devices within 7G. The paper highlights the use of technologies, including blockchain for decentralized security, quantum computing for robust encryption, terahertz communication for ultra-fast data transfer, zero-energy solutions for sustainability, and generative AI for intelligent network optimization and automation. By addressing these challenges and exploring cutting-edge strategies, this paper envisions 7G networks as the foundation for a secure, intelligent, and sustainable digital future, equipped to combat emerging cyber warfare threats, enhance resilience against technological disruptions, and support innovations across smart cities, autonomous systems, healthcare, and industrial IoT."
10.3389/frsc.2025.1561404,Explainable AI and monocular vision for enhanced UAV navigation in smart cities: prospects and challenges,Javaid S.,"Explainable Artificial Intelligence (XAI) is increasingly pivotal in Unmanned Aerial Vehicle (UAV) operations within smart cities, enhancing trust and transparency in AI-driven systems by addressing the 'black-box' limitations of traditional Machine Learning (ML) models.","This paper provides a comprehensive overview of the evolution of UAV navigation and control systems, tracing the transition from conventional methods such as GPS and inertial navigation to advanced AI- and ML-driven approaches. It investigates the transformative role of XAI in UAV systems, particularly in safety-critical applications where interpretability is essential. A key focus of this study is the integration of XAI into monocular vision-based navigation frameworks, which, despite their cost-effectiveness and lightweight design, face challenges such as depth perception ambiguities and limited fields of view. Embedding XAI techniques enhances the reliability and interpretability of these systems, providing clearer insights into navigation paths, obstacle detection, and avoidance strategies. This advancement is crucial for UAV adaptability in dynamic urban environments, including infrastructure changes, traffic congestion, and environmental monitoring. Furthermore, this work examines how XAI frameworks foster transparency and trust in UAV decision-making for high-stakes applications such as urban planning and disaster response. It explores critical challenges, including scalability, adaptability to evolving conditions, balancing explainability with performance, and ensuring robustness in adverse environments. Additionally, it highlights the emerging potential of integrating vision models with Large Language Models (LLMs) to further enhance UAV situational awareness and autonomous decision-making. Accordingly, this study provides actionable insights to advance next-generation UAV technologies, ensuring reliability and transparency. The findings underscore XAI's role in bridging existing research gaps and accelerating the deployment of intelligent, explainable UAV systems for future smart cities."
10.1109/TII.2024.3493390,Multiscale Recovery Diffusion Model With Unsupervised Learning for Video Anomaly Detection System,Li B.,"The rapid development of intelligent industry and smart city increases the number of surveillance devices, greatly enhancing the need for unsupervised automatic anomaly detection in real-time video surveillance, which uses raw data without laborious manual annotations. Existing video anomaly detection (VAD) methods encounter limitations when utilizing pretext tasks, such as reconstruction or prediction to identify abnormal events, as these tasks are not completely consistent and complementary with the essential objective of anomaly detection.","Motivated by recent advances in diffusion models, we propose a multiscale recovery diffusion model, which relies on the proposed novel and effective pretext task named recovery to introduce the notion of generation speed. It utilizes critical step-by-step generation of diffusion probabilistic models in unsupervised anomaly detection scenarios. By incorporating a proposed multiscale spatial-temporal subtraction module, our model captures more detailed appearance and motion information of foreground objects without relying on other high-level pretrained models. Furthermore, an innovative push–pull loss further extends the disparity between normal and abnormal events through pseudolabels. We validate our model on five established benchmarks: UCSD Ped1, UCSD Ped2, CUHK Avenue, ShanghaiTech, and UCF-Crime, achieving frame-level area under the curves of 86.01%, 99.23%, 92.35%, 82.49%, and 74.79%, respectively, surpassing other state-of-the-art unsupervised VAD methods."
