doi,title,authors,introduction,contribution
10.1016/j.apenergy.2025.125712,CityTFT: A temporal fusion transformer-based surrogate model for urban building energy modeling,Dai T.Y.,"Almost one-third of global greenhouse gas emissions are from buildings and nearly 70 % of energy is consumed in urban areas. To address this as a long-term issue, accurately predicting building energy use at the urban level is indispensable. Urban Building Energy Modeling (UBEM) is an emerging method to investigate urban design and energy systems at urban and neighborhood levels. UBEM methods are considered reasonably accurate in simulating the performance of almost any building combinations. However, customized urban projects, and optimization problems involving many UBEM scenarios, are time-consuming and labor-intensive, and based on the scalability, the simulation runtime can be exponentially high if a broad set of design variations is analyzed.","Here, we propose a data-driven approach to generate a surrogate model for UBEM and accelerate the simulation process. Based on the extensively used forecasting model, Temporal Fusion Transformer (TFT), we extract the static covariate encoder and variable selection network from the TFT structure while adding a small neural network to model the probability of triggering heating and cooling needs. The major advantages compared to other surrogate models are: (i) A sequential input in the transformer-based model to improve the temporal accuracy. (ii) A physics-inspired training strategy that builds on weather dynamics and urban interactions for hourly energy demands concurrently with a customized loss function. (iii) Improved generalizability for the proposed surrogate model using open and public data. In our study of 114 buildings in different climate zones in the US, our model predicts heating and cooling triggers in unseen climate dynamics with an F1 score of 0.83 while the root mean squared error (RMSE) of hourly loads was 71.51 kWh. This model is available for interfacing with climate projections and city-scale analysis as part of atmospheric urban digital twins."
10.1016/j.eswa.2025.127182,Demystifying SAR with attention,Patnaik N.,"Synthetic Aperture Radar (SAR) imagery is indispensable for earth observation, offering the ability to capture data under challenging conditions such as cloud cover and darkness. However, its grayscale format and speckle noise hinder interpretability and pose significant challenges for traditional processing methods.","This study introduces an innovative framework for SAR image colorization, leveraging an Attention-Based WGAN-GP (Wasserstein GAN with Gradient Penalty). The model incorporates multi-head self-attention mechanisms to enhance feature extraction, capture long-range dependencies, and dynamically suppress noise through a novel variance-based attention adjustment mechanism. Extensive evaluations on Sentinel-1 and Sentinel-2 datasets across diverse terrains, including agriculture, urban areas, barren land, and grasslands, demonstrate the model's superiority over existing approaches. It achieves an LPIPS score of 0.27, SSIM of 0.76, and an average inference time of 0.22 s, showcasing its ability to preserve spatial coherence and perceptual quality even in complex, noisy environments. This capability enables real-time applications in disaster management, flood monitoring, and urban planning, providing actionable insights and advancing the state-of-the-art in SAR image processing."
10.1016/j.landusepol.2025.107535,A green infrastructure planning approach for enhanced flood control and resilience in urban areas,Rahman M.R.,Urban flooding presents a growing challenge in metropolitan areas due to climate change and increasing impervious surfaces.,"This research proposes a Green Infrastructure (GI) planning approach to enhance flood control and resilience in the flood-prone Yeoksam-dong region of Gangnam, Seoul, South Korea. A mixed-method approach was employed, incorporating both residents’ preferences and hydrological simulations using the Stormwater Management Model (SWMM) to assess the effectiveness of various GI controls. Key GI co-benefits were identified through importance–performance analysis (IPA) and fuzzy weight rankings. Based on these, three GI scenarios were developed and evaluated for their flood mitigation potential. Scenario 1 (infiltration trench, rain garden, and rain barrel) emerged as the most effective, reducing surface runoff by 18.56 % and achieving the best cost-benefit ratio of 1.01 over a 10-year period. Scenario 2 (bio-retention, pervious pavement, and green roof), while less effective in terms of flood mitigation, may still offer ecological and social co-benefits. The study also conducted a sensitivity analysis, which confirmed Scenario 1’s robustness across various levels of imperviousness, making it a highly adaptable solution for urban settings. This research highlights the importance of community engagement in GI planning and demonstrates how integrating hydrological performance with socioeconomic benefits can enhance urban resilience. By aligning with the 4Rs of resilience; robustness, redundancy, resourcefulness, and rapidity, this study provides actionable insights for policymakers and urban planners seeking cost-effective, scalable solutions for flood-prone areas. The findings underscore the value of multifunctional GI controls in not only reducing flood risks but also promoting long-term sustainability and community well-being."
10.1016/j.cities.2025.105909,Popularity influence mechanism of coastal spaces in urban areas: Insights from multi-modal large language models,Sun P.,"Urban coastal spaces enhance public health, attract tourists, and boost cultural ecosystem services, making understanding public usage patterns and experiences crucial for coastal management and planning.","This study employs multimodal big data and large language models (LLaMA and LLaVA) to explore the mechanisms influencing the popularity of urban coastal areas. By integrating social media text and image data, mobile signaling data, and multisource geographic data, this research identifies key perceptual factors affecting coastal spaces' popularity. The findings highlight that visual and auditory perceptions, aesthetic services, and amenity services are vital for visitor satisfaction, while biodiversity and cultural services significantly impact visitation frequency. This research offers practical strategies for urban planners to optimize coastal space design and management, promoting sustainable development in tourism and cultural ecosystems."
10.1016/j.resconrec.2025.108227,Monitoring street-level improper dumpsites via a multi-modal and LLM-based framework,Zhang S.,"Effective monitoring and management of urban improper dumpsites have become increasingly critical due to the rising volumes of solid waste and their adverse environmental and public health impacts. Identifying the locations and types of street-level dumpsites is a necessary first step for waste management; however, existing studies lack automated and accurate methods for detecting and categorizing these sites. As a result, governments face substantial labor and financial burdens in managing illegal dumping.","To address these gaps, this study presents MultiSense DumpSpotter, a novel cascade model framework that integrates a multimodal deep learning architecture with Large Language Models (LLMs) to identify, classify, and analyze improper dumpsites with greater accuracy than traditional unimodal vision models. To support this framework, we developed UrbanDumpSight, the first annotated street-level urban dumpsite dataset, consisting of over 4000 street view images with metadata that includes geospatial and demographic information. This study contribute to the literature by demonstrating the effectiveness of multimodal data fusion in urban studies and the potential of LLMs in interpreting urban semantics. From a practical standpoint, it introduces a deployable, user-friendly system designed to meet the needs of urban managers, enabling efficient monitoring of improper dumping hotspots, uncovering root causes, and facilitating the implementation of effective governance actions. Overall, this research provides a novel and scalable solution for addressing urban waste challenges, offering insights to support sustainable waste management and policy-making."
10.1016/j.aej.2025.02.035,MiM-UNet: An efficient building image segmentation network integrating state space models,Liu D.,"With the advancement of remote sensing technology, the analysis of complex terrain images has become crucial for urban planning and geographic information extraction. However, existing models face significant challenges in processing intricate building structures: Transformer-based models suffer from high computational complexity and memory demands, while Convolutional Neural Networks (CNNs) often struggle to capture features across multiple scales and hierarchical levels.","To address these limitations, we propose a novel architecture, Mamba-in-Mamba U-Net (MiM-UNet), which integrates the design principles of state–space models (SSMs) to enhance both computational efficiency and feature extraction capacity. Specifically, MiM-UNet refines the traditional encoder–decoder framework by introducing Mamba-in-Mamba blocks, enabling precise multi-scale feature capture and efficient information fusion. Experimental results demonstrate that MiM-UNet outperforms state-of-the-art models in segmentation accuracy on the Massachusetts building dataset, while substantially reducing computational overhead, highlighting its superior performance and promising potential for practical applications."
10.1145/3714334.3714350,Robust Digital Watermarking for Remote Sensing Images Using Generative Adversarial Networks and Adaptive Channel Attention Mechanisms,Zhang Y.,"Remote sensing images are vital for urban planning, resource management, and environmental protection. However, their proliferation exposes them to risks such as data theft, unauthorized modifications, and misuse, hindering secure information sharing and industry growth.","To address these challenges, this paper introduces AWGAN, a robust watermarking method leveraging deep learning. AWGAN extracts deep image features to embed a robust and imperceptible digital watermark, ensuring security while maintaining data usability and visual fidelity. The method employs feature channel weighting to adaptively select key pixels for embedding, enhancing robustness and imperceptibility. It integrates multilevel feature extraction to fuse image features with the watermark, strengthening resilience. Additionally, adversarial training using a noise network layer and GAN discriminator improves resistance to distortions and ensures visual authenticity."
10.1016/j.ese.2025.100526,Generative spatial artificial intelligence for sustainable smart cities: A pioneering large flow model for urban digital twin,Huang J.,"Rapid urbanization, alongside escalating resource depletion and ecological degradation, underscores the critical need for innovative urban development solutions. In response, sustainable smart cities are increasingly turning to cutting-edge technologies—such as Generative Artificial Intelligence (GenAI), Foundation Models (FMs), and Urban Digital Twin (UDT) frameworks—to transform urban planning and design practices. These transformative tools provide advanced capabilities to analyze complex urban systems, optimize resource management, and enable evidence-based decision-making. Despite recent progress, research on integrating GenAI and FMs into UDT frameworks remains scant, leaving gaps in our ability to capture complex urban flows and multimodal dynamics essential to achieving environmental sustainability goals. Moreover, the lack of a robust theoretical foundation and real-world operationalization of these tools hampers comprehensive modeling and practical adoption.","This study introduces a pioneering Large Flow Model (LFM), grounded in a robust foundational framework and designed with GenAI capabilities. It is specifically tailored for integration into UDT systems to enhance predictive analytics, adaptive learning, and complex data management functionalities. To validate its applicability and relevance, the Blue City Project in Lausanne City is examined as a case study, showcasing the ability of the LFM to effectively model and analyze urban flows—namely mobility, goods, energy, waste, materials, and biodiversity—critical to advancing environmental sustainability. This study highlights how the LFM addresses the spatial challenges inherent in current UDT frameworks. The LFM demonstrates its novelty in comprehensive urban modeling and analysis by completing impartial city data, estimating flow data in new locations, predicting the evolution of flow data, and offering a holistic understanding of urban dynamics and their interconnections. The model enhances decision-making processes, supports evidence-based planning and design, fosters integrated development strategies, and enables the development of more efficient, resilient, and sustainable urban environments. This research advances both the theoretical and practical dimensions of AI-driven, environmentally sustainable urban development by operationalizing GenAI and FMs within UDT frameworks. It provides sophisticated tools and valuable insights for urban planners, designers, policymakers, and researchers to address the complexities of modern cities and accelerate the transition towards sustainable urban futures."
10.1007/s00371-024-03528-7,Learning to sculpt neural cityscapes,Zhu J.,"We introduce a system that learns to sculpt 3D models of massive urban environments. The majority of humans live their lives in urban environments, using detailed virtual models for applications as diverse as virtual worlds, special effects, and urban planning. Generating such 3D models from exemplars manually is time-consuming, while 3D deep learning approaches have high memory costs. In this paper, we present a technique for training 2D neural networks to repeatedly sculpt a plane into a large-scale 3D urban environment. An initial coarse depth map is created by a GAN model, from which we refine 3D normal and depth using an image translation network regularized by a linear system. The networks are trained using real-world data to allow generative synthesis of meshes at scale. We exploit sculpting from multiple viewpoints to generate a highly detailed, concave, and water-tight 3D mesh. We show cityscapes at scales of 100×1600 meters with more than 2 million triangles, and demonstrate that our results are objectively and subjectively similar to our exemplars.","We introduce a system that learns to sculpt 3D models of massive urban environments. The majority of humans live their lives in urban environments, using detailed virtual models for applications as diverse as virtual worlds, special effects, and urban planning. Generating such 3D models from exemplars manually is time-consuming, while 3D deep learning approaches have high memory costs. In this paper, we present a technique for training 2D neural networks to repeatedly sculpt a plane into a large-scale 3D urban environment. An initial coarse depth map is created by a GAN model, from which we refine 3D normal and depth using an image translation network regularized by a linear system. The networks are trained using real-world data to allow generative synthesis of meshes at scale. We exploit sculpting from multiple viewpoints to generate a highly detailed, concave, and water-tight 3D mesh. We show cityscapes at scales of 100×1600 meters with more than 2 million triangles, and demonstrate that our results are objectively and subjectively similar to our exemplars."
10.3390/su17062524,Capturing Urban Pluvial River Flooding Features Based on the Fusion of Physically Based and Data-Driven Approaches,Ye C.,"Driven by climate change and rapid urbanization, pluvial flooding is increasingly endangering urban environments, prompting the widespread use of coupled hydrological–hydrodynamic models that enable more accurate urban flood simulations and enhanced pluvial flood forecasting. The simulation method for urban river flooding caused by heavy rainfall has garnered growing attention. However, existing studies primarily concentrate on prediction using hydrodynamic models or machine learning models, and there remains a dearth of a comprehensive prediction framework that couples both models to simulate the temporal evolution of river flood changes.","This research proposes a novel framework for simulating urban pluvial river flooding by integrating physically based models with deep learning approaches. The sample set is enhanced through data augmentation and Generative Adversarial Networks, and scheduling control signals are incorporated into the encoder–decoder architecture to enable urban pluvial river flooding forecasting. The results demonstrate strong model performance, provided that the model’s structural complexity is aligned with the available training data. After incorporating scheduling information, the simulated water level process exhibits a “double-peak” pattern, where the first peak is noticeably lower than that under non-scheduling conditions. The current research introduces an innovative method for simulating and analyzing large-scale urban flooding, offering valuable perspectives for urban planning and flood mitigation strategies."
