doi,title,authors,introduction,contribution
10.1016/j.landurbplan.2025.105365,A hybrid framework for regional land valuation using generative intelligence and AutoML techniques,Jiang F.,"Land value is a crucial indicator of economic dynamics and regional development, providing essential information for urban planning and policy development. However, most existing studies estimate a singular land value over large areas, lacking the fine-grained details for urban management.","This study therefore develops a RAHGV (relative-to-absolute hybrid generative valuation) framework for regional land valuation, which combines a hybrid learning strategy with deep generative modeling to produce high-resolution, spatially continuous land value distribution across extensive urban areas. In a case study of New York City (NYC), the RAHGV model outperforms typical one-step models by differentiating between local land variations and broader regional tendencies. Its bi-attention bottleneck significantly improves model performance, reducing MAE (Mean Absolute Error) by 45.75% and MSE (Mean Squared Error) by 69.86% compared to conventional deep generative methods. Local physical infrastructure and mixed land-use patterns primarily influence micro-scale land values, while community amenities and economic vibrancy drive macro-scale values. The findings highlight the potential of the RAHGV framework as a powerful tool for promoting sustainable urban development by delivering high-resolution, data-driven insights that support informed decision-making in rapidly evolving urban environments."
10.1016/j.landusepol.2025.107535,A green infrastructure planning approach for enhanced flood control and resilience in urban areas,Rahman M.R.,Urban flooding presents a growing challenge in metropolitan areas due to climate change and increasing impervious surfaces.,"This research proposes a Green Infrastructure (GI) planning approach to enhance flood control and resilience in the flood-prone Yeoksam-dong region of Gangnam, Seoul, South Korea. A mixed-method approach was employed, incorporating both residents’ preferences and hydrological simulations using the Stormwater Management Model (SWMM) to assess the effectiveness of various GI controls. Key GI co-benefits were identified through importance–performance analysis (IPA) and fuzzy weight rankings. Based on these, three GI scenarios were developed and evaluated for their flood mitigation potential. Scenario 1 (infiltration trench, rain garden, and rain barrel) emerged as the most effective, reducing surface runoff by 18.56 % and achieving the best cost-benefit ratio of 1.01 over a 10-year period. Scenario 2 (bio-retention, pervious pavement, and green roof), while less effective in terms of flood mitigation, may still offer ecological and social co-benefits. The study also conducted a sensitivity analysis, which confirmed Scenario 1’s robustness across various levels of imperviousness, making it a highly adaptable solution for urban settings. This research highlights the importance of community engagement in GI planning and demonstrates how integrating hydrological performance with socioeconomic benefits can enhance urban resilience. By aligning with the 4Rs of resilience; robustness, redundancy, resourcefulness, and rapidity, this study provides actionable insights for policymakers and urban planners seeking cost-effective, scalable solutions for flood-prone areas. The findings underscore the value of multifunctional GI controls in not only reducing flood risks but also promoting long-term sustainability and community well-being."
10.1016/j.cities.2025.105909,Popularity influence mechanism of coastal spaces in urban areas: Insights from multi-modal large language models,Sun P.,"Urban coastal spaces enhance public health, attract tourists, and boost cultural ecosystem services, making understanding public usage patterns and experiences crucial for coastal management and planning.","This study employs multimodal big data and large language models (LLaMA and LLaVA) to explore the mechanisms influencing the popularity of urban coastal areas. By integrating social media text and image data, mobile signaling data, and multisource geographic data, this research identifies key perceptual factors affecting coastal spaces' popularity. The findings highlight that visual and auditory perceptions, aesthetic services, and amenity services are vital for visitor satisfaction, while biodiversity and cultural services significantly impact visitation frequency. This research offers practical strategies for urban planners to optimize coastal space design and management, promoting sustainable development in tourism and cultural ecosystems."
10.1016/j.resconrec.2025.108227,Monitoring street-level improper dumpsites via a multi-modal and LLM-based framework,Zhang S.,"Effective monitoring and management of urban improper dumpsites have become increasingly critical due to the rising volumes of solid waste and their adverse environmental and public health impacts. Identifying the locations and types of street-level dumpsites is a necessary first step for waste management; however, existing studies lack automated and accurate methods for detecting and categorizing these sites. As a result, governments face substantial labor and financial burdens in managing illegal dumping.","To address these gaps, this study presents MultiSense DumpSpotter, a novel cascade model framework that integrates a multimodal deep learning architecture with Large Language Models (LLMs) to identify, classify, and analyze improper dumpsites with greater accuracy than traditional unimodal vision models. To support this framework, we developed UrbanDumpSight, the first annotated street-level urban dumpsite dataset, consisting of over 4000 street view images with metadata that includes geospatial and demographic information. This study contribute to the literature by demonstrating the effectiveness of multimodal data fusion in urban studies and the potential of LLMs in interpreting urban semantics. From a practical standpoint, it introduces a deployable, user-friendly system designed to meet the needs of urban managers, enabling efficient monitoring of improper dumping hotspots, uncovering root causes, and facilitating the implementation of effective governance actions. Overall, this research provides a novel and scalable solution for addressing urban waste challenges, offering insights to support sustainable waste management and policy-making."
10.1016/j.aej.2025.02.035,MiM-UNet: An efficient building image segmentation network integrating state space models,Liu D.,"With the advancement of remote sensing technology, the analysis of complex terrain images has become crucial for urban planning and geographic information extraction. However, existing models face significant challenges in processing intricate building structures: Transformer-based models suffer from high computational complexity and memory demands, while Convolutional Neural Networks (CNNs) often struggle to capture features across multiple scales and hierarchical levels.","To address these limitations, we propose a novel architecture, Mamba-in-Mamba U-Net (MiM-UNet), which integrates the design principles of state–space models (SSMs) to enhance both computational efficiency and feature extraction capacity. Specifically, MiM-UNet refines the traditional encoder–decoder framework by introducing Mamba-in-Mamba blocks, enabling precise multi-scale feature capture and efficient information fusion. Experimental results demonstrate that MiM-UNet outperforms state-of-the-art models in segmentation accuracy on the Massachusetts building dataset, while substantially reducing computational overhead, highlighting its superior performance and promising potential for practical applications."
10.3390/buildings15050695,Building Change Detection in Aerial Imagery Using End-to-End Deep Learning Semantic Segmentation Techniques,Teo T.A.,"Automatic building change detection is essential for updating geospatial data, urban planning, and land use management.","The objective of this study is to propose a transformer-based UNet-like framework for end-to-end building change detection, integrating multi-temporal and multi-source data to improve efficiency and accuracy. Unlike conventional methods that focus on either spectral imagery or digital surface models (DSMs), the proposed method combines RGB color imagery, DSMs, and building vector maps in a three-branch Siamese architecture to enhance spatial, spectral, and elevation-based feature extraction. We chose Hsinchu, Taiwan as the experimental site and used 1:1000 digital topographic maps and airborne imagery from 2017, 2020, and 2023. The experimental results demonstrated that the data fusion model significantly outperforms other data combinations, achieving higher accuracy and robustness in detecting building changes. The RGB images provide spectral and texture details, DSMs offer structural and elevation context, and the building vector map enhances semantic consistency. This research advances building change detection by introducing a fully transformer-based model for end-to-end change detection, incorporating diverse geospatial data sources, and improving accuracy over traditional CNN-based methods. The proposed framework offers a scalable and automated solution for modern mapping workflows, contributing to more efficient geospatial data updating and urban monitoring."
10.1016/j.ese.2025.100526,Generative spatial artificial intelligence for sustainable smart cities: A pioneering large flow model for urban digital twin,Huang J.,"Rapid urbanization, alongside escalating resource depletion and ecological degradation, underscores the critical need for innovative urban development solutions. In response, sustainable smart cities are increasingly turning to cutting-edge technologies—such as Generative Artificial Intelligence (GenAI), Foundation Models (FMs), and Urban Digital Twin (UDT) frameworks—to transform urban planning and design practices. These transformative tools provide advanced capabilities to analyze complex urban systems, optimize resource management, and enable evidence-based decision-making. Despite recent progress, research on integrating GenAI and FMs into UDT frameworks remains scant, leaving gaps in our ability to capture complex urban flows and multimodal dynamics essential to achieving environmental sustainability goals. Moreover, the lack of a robust theoretical foundation and real-world operationalization of these tools hampers comprehensive modeling and practical adoption.","This study introduces a pioneering Large Flow Model (LFM), grounded in a robust foundational framework and designed with GenAI capabilities. It is specifically tailored for integration into UDT systems to enhance predictive analytics, adaptive learning, and complex data management functionalities. To validate its applicability and relevance, the Blue City Project in Lausanne City is examined as a case study, showcasing the ability of the LFM to effectively model and analyze urban flows—namely mobility, goods, energy, waste, materials, and biodiversity—critical to advancing environmental sustainability. This study highlights how the LFM addresses the spatial challenges inherent in current UDT frameworks. The LFM demonstrates its novelty in comprehensive urban modeling and analysis by completing impartial city data, estimating flow data in new locations, predicting the evolution of flow data, and offering a holistic understanding of urban dynamics and their interconnections. The model enhances decision-making processes, supports evidence-based planning and design, fosters integrated development strategies, and enables the development of more efficient, resilient, and sustainable urban environments. This research advances both the theoretical and practical dimensions of AI-driven, environmentally sustainable urban development by operationalizing GenAI and FMs within UDT frameworks. It provides sophisticated tools and valuable insights for urban planners, designers, policymakers, and researchers to address the complexities of modern cities and accelerate the transition towards sustainable urban futures."
10.1016/j.aap.2024.107908,Can we realize seamless traffic safety at smart intersections by predicting and preventing impending crashes?,Hassan Anik B.M.T.,"Intersections are frequently identified as crash hotspots for roadways in major cities, leading to significant human casualties.","We propose crash likelihood prediction as an effective strategy to proactively prevent intersection crashes. So far, no reliable models have been developed for intersections that effectively account for the variation in crash types and the cyclical nature of Signal Phasing and Timing (SPaT) and traffic flow. Moreover, the limited research available has primarily relied on sampling techniques to address data imbalance, without exploring alternative solutions. We develop an anomaly detection framework by integrating Generative Adversarial Networks (GANs) and Transformers to predict the likelihood of cycle-level crashes at intersections. The model is built using high-resolution event data extracted from Automated Traffic Signal Performance Measures (ATSPM), including SPaT and traffic flow insights from 11 intersections in Seminole County, Florida. Our framework demonstrates a sensitivity of 76% in predicting crash events using highly imbalanced crash data along with real-world SPaT and traffic data, highlighting its potential for deployment at smart intersections. Overall, the results provide a roadmap for city-wide implementation at smart intersections, with the potential for multiple real-time solutions for impending crashes. These include adjustments in signal timing, driver warnings using various means, and more efficient emergency response, all with major implications for creating more livable and safe cities."
10.1016/j.cose.2024.104299,Edge Implicit Weighting with graph transformers for robust intrusion detection in Internet of Things network,Karpagavalli C.,"In recent years, the Internet of Things devices have progressively deployed in various applications including smart cities, intelligent transportation, healthcare, and agriculture. However, this widespread adaptation of the Internet of Things networks has been vulnerable to several attacks. Lack of security protocols, unauthorized access, and improper device updates lead the Internet of Things environment to several attacks, which impact network security and confidentiality of users.","This paper develops an innovative approach that integrates Edge Implicit Weighting and Aggregated Graph Transformer architecture for accurate and timely intrusion detection. The proposed technique aggregates information from both one-hop and two-hop neighbors to derive immediate and extended relational context thereby improving the detection of complex attacks. This approach designs an Edge Implicit Weighting mechanism that allows the model to prioritize structurally significant relationships and enhance the accuracy of attack detection. The multi-head attention mechanism is introduced to enhance the detection of relevant patterns even in highly variable traffic scenarios. Further, the proposed framework incorporates the Synthetic Minority Over-sampling Technique to generate synthetic samples of minority classes to reduce class imbalance problems and attain balanced detection performance across all classes. The performance of the proposed detection technique is analyzed using multiple datasets with standard evaluation parameters. The proposed technique achieves outstanding performance results including an accuracy of 98.87% and a recall of 98.36%. From this experimental validation, it's clear that the proposed framework provides robust performance under diverse network conditions and handles imbalanced data effectively."
10.3390/land14030578,Generative Adversarial Networks for Climate-Sensitive Urban Morphology: An Integration of Pix2Pix and the Cycle Generative Adversarial Network,Wang M.,"Urban heat island (UHI) effects pose significant challenges to sustainable urban development, necessitating innovative modeling techniques to optimize urban morphology for thermal resilience.","This study integrates the Pix2Pix and CycleGAN architectures to generate high-fidelity urban morphology models aligned with local climate zones (LCZs), enhancing their applicability to urban climate studies. This research focuses on eight major Chinese coastal cities, leveraging a robust dataset of 4712 samples to train the generative models. Quantitative evaluations demonstrated that the integration of CycleGAN with Pix2Pix substantially improved structural fidelity and realism in urban morphology synthesis, achieving a peak Structural Similarity Index Measure (SSIM) of 0.918 and a coefficient of determination (R2) of 0.987. The total adversarial loss in Pix2Pix training stabilized at 0.19 after 811 iterations, ensuring high convergence in urban structure generation. Additionally, CycleGAN-enhanced outputs exhibited a 35% reduction in relative error compared to Pix2Pix-generated images, significantly improving edge preservation and urban feature accuracy. By incorporating LCZ data, the proposed framework successfully bridges urban morphology modeling with climate-responsive urban planning, enabling adaptive design strategies for mitigating UHI effects. This study integrates Pix2Pix and CycleGAN architectures to enhance the realism and structural fidelity of urban morphology generation, while incorporating the LCZ classification framework to produce urban forms that align with specific climatological conditions. Compared to the model trained by Pix2Pix coupled with LCZ alone, the approach offers urban planners a more precise tool for designing climate-responsive cities, optimizing urban layouts to mitigate heat island effects, improve energy efficiency, and enhance resilience."
