doi,title,authors,introduction,contribution
10.1016/j.compenvurbsys.2025.102252,GeoAvatar: A big mobile phone positioning data-driven method for individualized pseudo personal mobility data generation,Li P.,"The importance of personal mobility data is widely recognized in various fields. However, the utilization of real personal mobility data raises privacy concerns. Therefore, it is crucial to generate pseudo personal mobility data that accurately reflects real-world mobility patterns while safeguarding user privacy. Nevertheless, existing methods for generating pseudo mobility data, mostly focusing on trip or trajectory generation, have limitations in capturing sufficient individual heterogeneity. To address these gaps, taking pseudo-person(avatar) as ground-zero, a novel individual-based human mobility generator named GeoAvatar has been proposed – which considering individual heterogeneity in spatial and temporal decision-making, incorporates demographic characteristics.","Our method utilizes a deep generative model to generate heterogeneous individual life patterns, a variation inference model for inferring individual demographic characteristics, and a Bayesian-based approach for generating spatial choices considering individual demographic characteristics. Through our method, we have achieved generating realistic pseudo personal human mobility data - we evaluated the proposed method based on physical features – obeying common law of human mobility, activity features – showing diverse and realistic activities, and spatial-temporal characteristics – presenting high-accuracy in terms of temporal grid population and od-count, demonstrating its good performance, with both a big mobile phone GPS trajectory dataset from Tokyo Metropolis and a big mobile phone CDR dataset from Shanghai. Furthermore, this method maintains extensibility for broader applications, making it a promising framework for generating pseudo personal human mobility data."
10.1016/j.aap.2024.107908,Can we realize seamless traffic safety at smart intersections by predicting and preventing impending crashes?,Hassan Anik B.M.T.,"Intersections are frequently identified as crash hotspots for roadways in major cities, leading to significant human casualties.","We propose crash likelihood prediction as an effective strategy to proactively prevent intersection crashes. So far, no reliable models have been developed for intersections that effectively account for the variation in crash types and the cyclical nature of Signal Phasing and Timing (SPaT) and traffic flow. Moreover, the limited research available has primarily relied on sampling techniques to address data imbalance, without exploring alternative solutions. We develop an anomaly detection framework by integrating Generative Adversarial Networks (GANs) and Transformers to predict the likelihood of cycle-level crashes at intersections. The model is built using high-resolution event data extracted from Automated Traffic Signal Performance Measures (ATSPM), including SPaT and traffic flow insights from 11 intersections in Seminole County, Florida. Our framework demonstrates a sensitivity of 76% in predicting crash events using highly imbalanced crash data along with real-world SPaT and traffic data, highlighting its potential for deployment at smart intersections. Overall, the results provide a roadmap for city-wide implementation at smart intersections, with the potential for multiple real-time solutions for impending crashes. These include adjustments in signal timing, driver warnings using various means, and more efficient emergency response, all with major implications for creating more livable and safe cities."
10.1007/s42524-025-4213-0,Large language model empowered smart city mobility,Chen Y.,"Smart city mobility faces mounting challenges as urban mobility systems grow increasingly complex. Large language models (LLMs) have promise in interpreting and processing multi-modal urban data, but issues like model instability, computational inefficiency, and concerns about reliability hinder their implementations.","In this Comment, we outline feasible LLM application scenarios, critically evaluate existing challenges, and highlight avenues for advancing LLM-based mobility systems through multi-modal data integration and developing robust, lightweight models."
10.1016/j.trb.2024.103135,Bike network planning in limited urban space,Wiedemann N.,"The lack of cycling infrastructure in urban environments hinders the adoption of cycling as a viable mode for commuting, despite the evident benefits of (e-)bikes as sustainable, efficient, and health-promoting transportation modes. Bike network planning is a tedious process, relying on heuristic computational methods that frequently overlook the broader implications of introducing new cycling infrastructure, in particular the necessity to repurpose car lanes.","In this work, we call for optimizing the trade-off between bike and car networks, effectively pushing for Pareto optimality. This shift in perspective gives rise to a novel linear programming formulation towards optimal bike network allocation. Our experiments, conducted using both real-world and synthetic data, testify the effectiveness and superiority of this optimization approach compared to heuristic methods. In particular, the framework provides stakeholders with a range of lane reallocation scenarios, illustrating potential bike network enhancements and their implications for car infrastructure. Crucially, our approach is adaptable to various bikeability and car accessibility evaluation criteria, making our tool a highly flexible and scalable resource for urban planning. This paper presents an advanced decision-support framework that can significantly aid urban planners in making informed decisions on cycling infrastructure development."
10.1016/j.apacoust.2024.110268,A rapid approach to urban traffic noise mapping with a generative adversarial network,Yang X.,"With rapid urbanisation and the accompanying increase in traffic density, traffic noise has become a major concern in urban planning. However, traditional grid noise mapping methods have limitations in terms of time consumption, software costs, and a lack of parameter integration interfaces. These limitations hinder their ability to meet the need for iterative updates and rapid performance feedback in the early design stages of street-scale urban planning. Herein, we developed a rapid urban traffic noise mapping technique that leverages generative adversarial networks (GANs) as a surrogate model.","This approach enables the rapid assessment of urban traffic noise distribution by using urban elements such as roads and buildings as the input. The mean values for the mean squared error (RMSE) and structural similarity index (SSIM) are 0.3024 dB(A) and 0.8528, respectively, for the validation dataset. The trained model is integrated into Grasshopper as a tool, facilitating the rapid generation of traffic noise maps. This integration allows urban designers and planners, even those without expertise in acoustics, to easily anticipate changes in acoustics impacts caused by design in the early design stages."
10.1109/TITS.2025.3528116,"Integrating LLMs With ITS: Recent Advances, Potentials, Challenges, and Future Directions",Mahmud D.,"Intelligent Transportation Systems (ITS) are crucial for the development and operation of smart cities, addressing key challenges in efficiency, productivity, and environmental sustainability.","This paper comprehensively reviews the transformative potential of Large Language Models (LLMs) in optimizing ITS. Initially, we provide an extensive overview of ITS, highlighting its components, operational principles, and overall effectiveness. We then delve into the theoretical background of various LLM techniques, such as GPT, T5, CTRL, and BERT, elucidating their relevance to ITS applications. Following this, we examine the wide-ranging applications of LLMs within ITS, including traffic flow prediction, vehicle detection and classification, autonomous driving, traffic sign recognition, and pedestrian detection. Our analysis reveals how these advanced models can significantly enhance traffic management and safety. Finally, we explore the challenges and limitations LLMs face in ITS, such as data availability, computational constraints, and ethical considerations. We also present several future research directions and potential innovations to address these challenges. This paper aims to guide researchers and practitioners through the complexities and opportunities of integrating LLMs in ITS, offering a roadmap to create more efficient, sustainable, and responsive next-generation transportation systems."
10.1080/13658816.2024.2381146,STAGE: a spatiotemporal-knowledge enhanced multi-task generative adversarial network (GAN) for trajectory generation,Cao Z.,"Individual trajectory data play a pivotal role in various application fields, such as urban planning, traffic control, and epidemic simulation. Despite the diverse means for data collection in current times, the real-world trajectory data in practical application remains severely limited due to concerns over personal privacy.","In this study, we designed a Spatiotemporal-knowledge enhanced multi-TAsk GEnerative adversarial network (GAN), named STAGE, to generate synthetic trajectories that statistically resemble the real data without recycling personal information. In STAGE, we designed a multi-task generator with three stages of spatio-temporal generation tasks, i.e. activity-sequence generation task, township-level trajectory generation task, and neighborhood-level trajectory generation task, with the last one as the main task while the other two as auxiliary tasks. Meanwhile, we designed a spatial consistency loss in the adversarial training process to assess the spatial consistency of generated trajectories at different spatial scales. Experiment results show that compared to the baselines, trajectories generated by our method have closer data distributions to the real ones. We argued that the designs of spatiotemporal-knowledge enhanced generation tasks and training loss benefit the spatiotemporal generation processes, which help reproduce the temporal patterns of human daily activities and spatial distribution of human movements."
10.1109/OJCOMS.2025.3560035,Future of Connectivity: A Comprehensive Review of Innovations and Challenges in 7G Smart Networks,Chamola V.,"The evolution from 1G to 6G networks has transformed global communication, progressing from basic voice calls in 1G to the immersive, AI-enabled experiences of 6G. As emerging AI-driven applications like autonomous systems, the Internet of Everything (IoE), and immersive technologies demand unprecedented capabilities, 7G networks are set to redefine connectivity by overcoming the limitations of earlier generations.","This paper comprehensively reviews the innovations and challenges in 7G networks, focusing on integrating advanced AI and machine learning paradigms such as meta-learning, incremental learning, distributed intelligence, and reinforcement learning to enhance adaptability, resource allocation, and edge performance. The review also examines the role of Large Language Models (LLMs) in enabling real-time actionable intelligence and optimizing edge devices within 7G. The paper highlights the use of technologies, including blockchain for decentralized security, quantum computing for robust encryption, terahertz communication for ultra-fast data transfer, zero-energy solutions for sustainability, and generative AI for intelligent network optimization and automation. By addressing these challenges and exploring cutting-edge strategies, this paper envisions 7G networks as the foundation for a secure, intelligent, and sustainable digital future, equipped to combat emerging cyber warfare threats, enhance resilience against technological disruptions, and support innovations across smart cities, autonomous systems, healthcare, and industrial IoT."
10.1080/13658816.2024.2381146,STAGE: a spatiotemporal-knowledge enhanced multi-task generative adversarial network (GAN) for trajectory generation,Cao Z.,"Individual trajectory data play a pivotal role in various application fields, such as urban planning, traffic control, and epidemic simulation. Despite the diverse means for data collection in current times, the real-world trajectory data in practical application remains severely limited due to concerns over personal privacy.","In this study, we designed a Spatiotemporal-knowledge enhanced multi-TAsk GEnerative adversarial network (GAN), named STAGE, to generate synthetic trajectories that statistically resemble the real data without recycling personal information. In STAGE, we designed a multi-task generator with three stages of spatio-temporal generation tasks, i.e. activity-sequence generation task, township-level trajectory generation task, and neighborhood-level trajectory generation task, with the last one as the main task while the other two as auxiliary tasks. Meanwhile, we designed a spatial consistency loss in the adversarial training process to assess the spatial consistency of generated trajectories at different spatial scales. Experiment results show that compared to the baselines, trajectories generated by our method have closer data distributions to the real ones. We argued that the designs of spatiotemporal-knowledge enhanced generation tasks and training loss benefit the spatiotemporal generation processes, which help reproduce the temporal patterns of human daily activities and spatial distribution of human movements."
10.1007/s10707-025-00543-1,Efficient nearest-neighbor search on moving objects with durability constraints,Zhao W.,"Trajectory data are nowadays ubiquitous. This paper investigates the problem of durable nearest-neighbor query processing over trajectories. Durable queries are useful in various practical applications such as disaster management, urban planning, self-driving, etc. In particular, durable nearest-neighbor queries may find trajectory data clusters with natural spatiotemporal distributions and dynamics, which are beneficial to trajectory data generation for advanced data analysis. We develop an efficient durable nearest-neighbor query processing algorithm following the filter-and-refine paradigm. Specifically, by properly formalizing the problem, we develop tight distance bounds and tree-based data indexes, which lead to efficient pruning during the search process. Experiments on real and synthetic datasets demonstrate the efficiency and scalability of our methods.","This paper investigates the problem of durable nearest-neighbor query processing over trajectories. Durable queries are useful in various practical applications such as disaster management, urban planning, self-driving, etc. In particular, durable nearest-neighbor queries may find trajectory data clusters with natural spatiotemporal distributions and dynamics, which are beneficial to trajectory data generation for advanced data analysis. We develop an efficient durable nearest-neighbor query processing algorithm following the filter-and-refine paradigm. Specifically, by properly formalizing the problem, we develop tight distance bounds and tree-based data indexes, which lead to efficient pruning during the search process. Experiments on real and synthetic datasets demonstrate the efficiency and scalability of our methods."
