Title,Cluster
Instruction-Tuning Llama-3-8B Excels in City-Scale Mobility Prediction,6
Large language model as parking planning agent in the context of mixed period of autonomous vehicles and Human-Driven vehicles,6
Evaluating a global citizenship course on developing business students' AI literacy skills,0
Arabic Opinion Classification of Customer Service Conversations Using Data Augmentation and Artificial Intelligence,7
Integrating Large Language Models and Optimization in Semi- Structured Decision Making: Methodology and a Case Study,6
Investigating the Performance of Open-Vocabulary Classification Algorithms for Pathway and Surface Material Detection in Urban Environments,7
"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions",0
Integrating IoT and visual question answering in smart cities: Enhancing educational outcomes,0
CERN for AI: a theoretical framework for autonomous simulation-based artificial intelligence testing and alignment,0
A method to promote safe cycling powered by large language models and AI agents,6
Enhanced botnet detection in IoT networks using zebra optimization and dual-channel GAN classification,2
A deep learning approach for prediction of air quality index in smart city,5
GPT-4 enhanced multimodal grounding for autonomous driving: Leveraging cross-modal attention with large language models,6
Towards Zero-Shot Annotation of the Built Environment with Vision-Language Models,6
Harnessing LLMs for Cross-City OD Flow Prediction,6
Multimodal Trajectory Prediction for Diverse Vehicle Types in Autonomous Driving with Heterogeneous Data and Physical Constraints,7
AI-Enhanced Strategies to Ensure New Sustainable Destination Tourism Trends Among the 27 European Union Member States,0
Spatial–Temporal Similarity Fusion Graph Adversarial Convolutional Networks for traffic flow forecasting,4
Intrusion Detection for Blockchain-Based Internet of Things Using Gaussian Mixture–Fully Convolutional Variational Autoencoder Model,2
Making Archives Searchable: Vision-Language Models for Classification of Historical Aerial Imagery,7
Generative-AI based Map Representation and Localization,7
Richard Sennett on the user-friendly city and technology,7
‘Where #freedom and #patriotism live:’ Linking digital media to far-right geographies,7
A new clustering-based semi-supervised method to restrict the users from anomalous electricity consumption: supporting urbanization,5
Urban energy transition in renewable energy management considering policy and law challenges and opportunities in the pursuit of clean and sustainable urban environments,5
An AI-Based Evaluation Framework for Smart Building Integration into Smart City,0
SpecRep: Adversary Emulation Based on Attack Objective Specification in Heterogeneous Infrastructures,2
ControlTraj: Controllable Trajectory Generation with Topology-Constrained Diffusion Model,7
UrbanGPT: Spatio-Temporal Large Language Models,7
Graph Intelligence with Large Language Models and Prompt Learning,6
Urban-Focused Multi-Task Offline Reinforcement Learning with Contrastive Data Sharing,7
Metro Stations as Catalysts for Land Use Patterns: Evidence from Wuhan Line 11,6
Conditional generative adversarial networks for image-based sunlight analysis of residential blocks,6
Estimating and explaining regional land value distribution using attention-enhanced deep generative models,6
Evaluating Cyber Security Dashboards for Smart Cities and Buildings: Enhancing User Modeling with LLMs,6
Energy efficiency security in urban areas: Challenges and implementation,1
Improving Conversational User Interfaces for Citizen Complaint Management through enhanced Contextual Feedback,7
