doi,title,authors,introduction,contribution
10.1016/j.compenvurbsys.2025.102252,GeoAvatar: A big mobile phone positioning data-driven method for individualized pseudo personal mobility data generation,Li P.,"The importance of personal mobility data is widely recognized in various fields. However, the utilization of real personal mobility data raises privacy concerns. Therefore, it is crucial to generate pseudo personal mobility data that accurately reflects real-world mobility patterns while safeguarding user privacy. Nevertheless, existing methods for generating pseudo mobility data, mostly focusing on trip or trajectory generation, have limitations in capturing sufficient individual heterogeneity. To address these gaps, taking pseudo-person(avatar) as ground-zero, a novel individual-based human mobility generator named GeoAvatar has been proposed – which considering individual heterogeneity in spatial and temporal decision-making, incorporates demographic characteristics.","Our method utilizes a deep generative model to generate heterogeneous individual life patterns, a variation inference model for inferring individual demographic characteristics, and a Bayesian-based approach for generating spatial choices considering individual demographic characteristics. Through our method, we have achieved generating realistic pseudo personal human mobility data - we evaluated the proposed method based on physical features – obeying common law of human mobility, activity features – showing diverse and realistic activities, and spatial-temporal characteristics – presenting high-accuracy in terms of temporal grid population and od-count, demonstrating its good performance, with both a big mobile phone GPS trajectory dataset from Tokyo Metropolis and a big mobile phone CDR dataset from Shanghai. Furthermore, this method maintains extensibility for broader applications, making it a promising framework for generating pseudo personal human mobility data."
10.1016/j.cities.2025.105909,Popularity influence mechanism of coastal spaces in urban areas: Insights from multi-modal large language models,Sun P.,"Urban coastal spaces enhance public health, attract tourists, and boost cultural ecosystem services, making understanding public usage patterns and experiences crucial for coastal management and planning.","This study employs multimodal big data and large language models (LLaMA and LLaVA) to explore the mechanisms influencing the popularity of urban coastal areas. By integrating social media text and image data, mobile signaling data, and multisource geographic data, this research identifies key perceptual factors affecting coastal spaces' popularity. The findings highlight that visual and auditory perceptions, aesthetic services, and amenity services are vital for visitor satisfaction, while biodiversity and cultural services significantly impact visitation frequency. This research offers practical strategies for urban planners to optimize coastal space design and management, promoting sustainable development in tourism and cultural ecosystems."
10.1007/s42001-024-00332-0,A comprehensive investigation of variational auto-encoders for population synthesis,Sané A.R.,"The use of synthetic populations has grown considerably over the recent years, in revolutionizing studies conducted within various fields, including social science research, urban planning, public health and transportation modeling. These synthetic populations prove to be valuable, as substitutes for the often missing or sensitive real data, and moreover are capable of preserving both privacy and representativeness. They are typically constructed from aggregate and/or sample data. Recently, new methods for generating synthetic populations based on deep learning, notably Variational Autoencoders (VAEs), have been developed. Such methods serve to overcome the limitations of traditional methods, such as Iterative Proportional Fitting (IPF), which are unable to generate agents with cross-modalities not found in the sample data. As such, IPF requires large samples to generate a synthetic population closely resembling the actual one. Conversely, the advantage of VAE lies in their ability to generate agents not found in the sample data, albeit with the risk of creating agents not existing in the actual population. However, the practical documentation as well as detailed analyses of the architectures and results from implementation of these deep learning approaches, in particular VAE, are limited, thus making these methods difficult to appropriate for practitioners.","This paper focuses on generating synthetic populations using VAE. First, an in-depth and accessible theoretical explanation of how VAEs function is provided. Next, a detailed study of these methods is carried out by testing the various architectures, parameters, sample sizes and evaluation indicators necessary to guarantee high-quality results. Highlighted herein is the ability of VAEs to generate large datasets with a small training sample, in addition to VAE performance in generating new realistic individuals not present in the learning base. Certain limitations are identified, including the difficulties encountered by VAEs in managing numerical attributes and the need for post-processing to eliminate unrealistic individuals. In conclusion, despite a number of limitations, VAE constitutes a very promising methodology for generating synthetic populations, in offering practitioners numerous advantages. This paper is accompanied by a Python notebook to assist interested readers implement this new methodology."
10.7544/issn1000-1239.202330718,Person Re-identification Method Based on Hybrid Real-Synthetic Data,Qi L.,"In recent years, the rapid urbanization and development of the social economy have led to a growing focus on public safety issues. Governments across the world are increasingly promoting the construction of smart cities and intelligent security systems to safeguard the lives and property of citizens and maintain social stability. Person re-identification (ReID) is an essential technology for building smart cities, with significant implications for security monitoring and criminal investigation applications. The goal of person re-identification is to accurately identify specific individuals captured under different cameras. However, due to intra-class differences resulting from various factors such as illumination, viewpoint, occlusion, and pose, person re-identification remains a challenging task in the field of computer vision. Although existing fully supervised person re-identification methods have made significant progress, the scarcity of data and labels poses a bottleneck for further improving model performance.","To address this challenge, we introduce a more complex and diverse synthetic dataset with easy-to-obtain labels for auxiliary training, and propose a novel camera-aware asymmetric adversarial learning (CAAL) method that overcomes intra-class variation among multiple cameras and the domain-shift between real data and synthetic data, enabling the learning of camera-invariant feature representations from diverse data sources. Furthermore, to mitigate the impact of misleading information carried by synthetic datasets and prevent the model from overfitting to synthetic data during adversarial training, we propose using an auxiliary network trained on real-world data to constrain the training of the backbone network. Finally, we conduct extensive experiments on two public datasets to demonstrate the effectiveness of the proposed method."
10.1201/9781003531302,GIS Cartography A Guide to Effective Map Design,Peterson G.N.,"The new edition of this well-established introductory cartography textbook is updated to respond to the demand for critical engagement with new technologies, the passion for inclusive design, and for preparing students to build competence in fundamental skills. Written in a friendly style, it is enjoyable to read and includes over 200 figures and maps, explaining everything from layout design to dynamic cartography issues. A new chapter discusses the role of artificial intelligence (AI) in cartography, and a significant expansion to 3D cartography has been incorporated into existing chapters. A new chapter on accessibility provides a thorough understanding of universal design. Additional updates include placements and best practices for digital map elements, global labeling techniques including language support, hybrid map styling, multiscale map testing, and information on 4D mapping. New in the Fourth Edition: Exploration of geospatial AI and generative AI in cartography and how they can already make an impact on workflows. New material on vision, motor, and cognitive accessibility techniques in map design. Expanded discussion on 3D cartography. All chapters are updated with new data and important new developments in cartography, including the importance of accessible design to ensure inclusivity for all users. Updated study questions and exercises to enhance student engagement and comprehension. New discussions of techniques such as aquarium cutaways, integrated north arrows, joy plots, hybrid satellite maps, crafted hachuring, as well as updated information on resolution and file types. This book is written as a go-to guide for learning the art and science of mapmaking. It is for undergraduate and graduate students taking courses in GIS and cartography and studying fields such as geography, geophysics, environmental engineering, urban planning, and so on. It is also a valuable resource for professionals interested in learning techniques and technologies for creating maps and visualizing geospatial datasets.","The new edition of this well-established introductory cartography textbook is updated to respond to the demand for critical engagement with new technologies, the passion for inclusive design, and for preparing students to build competence in fundamental skills. Written in a friendly style, it is enjoyable to read and includes over 200 figures and maps, explaining everything from layout design to dynamic cartography issues. A new chapter discusses the role of artificial intelligence (AI) in cartography, and a significant expansion to 3D cartography has been incorporated into existing chapters. A new chapter on accessibility provides a thorough understanding of universal design. Additional updates include placements and best practices for digital map elements, global labeling techniques including language support, hybrid map styling, multiscale map testing, and information on 4D mapping. New in the Fourth Edition: Exploration of geospatial AI and generative AI in cartography and how they can already make an impact on workflows. New material on vision, motor, and cognitive accessibility techniques in map design. Expanded discussion on 3D cartography. All chapters are updated with new data and important new developments in cartography, including the importance of accessible design to ensure inclusivity for all users. Updated study questions and exercises to enhance student engagement and comprehension. New discussions of techniques such as aquarium cutaways, integrated north arrows, joy plots, hybrid satellite maps, crafted hachuring, as well as updated information on resolution and file types. This book is written as a go-to guide for learning the art and science of mapmaking. It is for undergraduate and graduate students taking courses in GIS and cartography and studying fields such as geography, geophysics, environmental engineering, urban planning, and so on. It is also a valuable resource for professionals interested in learning techniques and technologies for creating maps and visualizing geospatial datasets."
10.1080/13658816.2024.2381146,STAGE: a spatiotemporal-knowledge enhanced multi-task generative adversarial network (GAN) for trajectory generation,Cao Z.,"Individual trajectory data play a pivotal role in various application fields, such as urban planning, traffic control, and epidemic simulation. Despite the diverse means for data collection in current times, the real-world trajectory data in practical application remains severely limited due to concerns over personal privacy.","In this study, we designed a Spatiotemporal-knowledge enhanced multi-TAsk GEnerative adversarial network (GAN), named STAGE, to generate synthetic trajectories that statistically resemble the real data without recycling personal information. In STAGE, we designed a multi-task generator with three stages of spatio-temporal generation tasks, i.e. activity-sequence generation task, township-level trajectory generation task, and neighborhood-level trajectory generation task, with the last one as the main task while the other two as auxiliary tasks. Meanwhile, we designed a spatial consistency loss in the adversarial training process to assess the spatial consistency of generated trajectories at different spatial scales. Experiment results show that compared to the baselines, trajectories generated by our method have closer data distributions to the real ones. We argued that the designs of spatiotemporal-knowledge enhanced generation tasks and training loss benefit the spatiotemporal generation processes, which help reproduce the temporal patterns of human daily activities and spatial distribution of human movements."
10.1080/13658816.2024.2381146,STAGE: a spatiotemporal-knowledge enhanced multi-task generative adversarial network (GAN) for trajectory generation,Cao Z.,"Individual trajectory data play a pivotal role in various application fields, such as urban planning, traffic control, and epidemic simulation. Despite the diverse means for data collection in current times, the real-world trajectory data in practical application remains severely limited due to concerns over personal privacy.","In this study, we designed a Spatiotemporal-knowledge enhanced multi-TAsk GEnerative adversarial network (GAN), named STAGE, to generate synthetic trajectories that statistically resemble the real data without recycling personal information. In STAGE, we designed a multi-task generator with three stages of spatio-temporal generation tasks, i.e. activity-sequence generation task, township-level trajectory generation task, and neighborhood-level trajectory generation task, with the last one as the main task while the other two as auxiliary tasks. Meanwhile, we designed a spatial consistency loss in the adversarial training process to assess the spatial consistency of generated trajectories at different spatial scales. Experiment results show that compared to the baselines, trajectories generated by our method have closer data distributions to the real ones. We argued that the designs of spatiotemporal-knowledge enhanced generation tasks and training loss benefit the spatiotemporal generation processes, which help reproduce the temporal patterns of human daily activities and spatial distribution of human movements."
10.1007/978-3-031-82633-7_27,EEG Biometrics with GAN Integration for Secure Smart City Data Access,Saia R.,"Biometric systems leveraging ElectroEncephaloGram (EEG) data for user authentication present significant potential in diverse contexts, especially in Smart City ecosystems where secure access to sensitive data is crucial (e.g., healthcare systems, intelligent transportation, smart grids, public safety, and citizen services). However, the complexity and variability of EEG data raise challenges in developing effective solutions.","In this context, after a preliminary series of experiments used to find the best feature extraction method for the input, and performed by exploiting the Biometric EEG Dataset (BED), this paper proposes a novel EEG-based user verification framework. It utilizes Mel-Frequency Cepstral Coefficients (MFCC) for feature extraction, followed by feature selection via the Boruta strategy and automated data quantization. An important aspect of this approach is the integration of Generative Adversarial Networks (GANs) to generate synthetic EEG data, which, along with real data, is employed to train an ensemble of Artificial Neural Networks (ANNs). The ensemble decision is made using soft voting mechanisms, promising a robust and competitive solution compared to current state-of-the-art techniques. Initial experiments suggest that this framework has significant potential for further development and optimization."
10.3390/land13122178,Integrating Spatiotemporal and Travel-Related Information for Accurate Urban Passenger Profiling Using GANs,Duan X.,"The elaborate description of passenger travel profiles is of significant importance in urban planning, socioeconomic structural design, and individual travel preference analysis. Traditional models often lack consideration of personalized features and exhibit suboptimal performance in constructing spatiotemporal dependencies.","To address these issues, this paper proposes a method that integrates spatiotemporal information with travel-related information and employs generative adversarial networks (GANs) for adversarial training. This method accurately fits the true distribution of user travel data, thereby providing detailed profiles of public transportation passengers’ travel behavior. Specifically, the proposed approach considers the complete travel chain of individuals, establishes a spatiotemporal constraint representation model, and utilizes GANs to simulate the distribution of passenger travel, obtaining more compact and high-level travel vector features. The empirical results demonstrate that the proposed method accurately captures passengers’ travel patterns in both the temporal and spatial dimensions, offering technical support for urban transportation planning."
10.1145/3678717.3691311,MobGLM: A Large Language Model for Synthetic Human Mobility Generation,Zhang K.,"Human mobility generation plays a critical role in urban transportation planning. Existing human mobility generation models often fall short of understanding travelers’ demographics and integrating multimodal information, including activity purposes, destination choices and transport mode preferences. Recently, mobility generation models leveraging Large Language Models (LLMs) have gained significant attention, while they are limited in directly reproducing spatial information in human mobility profiles.","To address these challenges, this paper proposes the Mobility Generative Language Model (MobGLM), a novel approach for generating synthetic human mobility data to support urban planning, transport management, energy consumption and epidemic control. MobGLM addresses these limitations by capturing the complex relationships between agents’ mobility patterns and individual demographics. By incorporating personal information, activity types, locations and traffic modes as encoders, MobGLM uniquely identifies and replicates features of human mobility. Our framework is evaluated using a large, real-world mobility dataset and benchmarked against state-of-the-art personal mobility generation techniques. The results demonstrate the effectiveness of MobGLM in producing accurate and reliable synthetic mobility data, highlighting its potential applications in various urban mobility contexts."
